nds,de
He hett en Boom ümhackt in ’n Goorn.,Er hat einen Baum im Garten gefällt.
De Hund weer ut ’e Puust.,Der Hund war außer Atem.
Ik heff in mien Goorn en Appelboom plant.,Ich habe in meinem Garten einen Apfelbaum gepflanzt.
Ik bün in ’n verkehrten Bus instegen.,Ich bin in den falschen Bus gestiegen.
He keek mi in ’t Gesicht.,Er sah mir ins Gesicht.
Mayuko ehr Droom is wohr worrn.,Mayukos Traum wurde wahr.
He bröch uns trurige Narichten.,Er brachte uns traurige Nachrichten.
Ik verstah keen Düütsch.,Ich verstehe kein Deutsch.
"Wenn achter Flegen Flegen flegen, flegen Flegen Flegen achterher.","Wenn hinter Fliegen Fliegen fliegen, fliegen Fliegen Fliegen hinterher."
"Schasst ook de Best wesen, wenn dor ans nüms is!","Du kannst auch der Beste sein, wenn da niemand anderes ist."
De Mann hett den Düvel sien Seel verköfft.,Der Mann verkaufte dem Teufel seine Seele.
Schall ik di en Koort teken?,Soll ich dir eine Karte zeichnen?
Düsse japaansche Satz is unöversettbor.,Dieser japanische Satz ist unübersetzbar.
Dor sünd enkelte Bööd op ’n See.,Es sind einige Boote auf dem See.
Ik deed mi lever scheden laten.,Ich würde mich lieber scheiden lassen.
Dit Book is nich to verköpen.,Dieses Buch ist nicht zu verkaufen.
Ik bün op ’n Weg.,Ich bin auf dem Weg.
Warr ik wedder gohn künnen?,Werde ich wieder gehen können?
Snackst du Georgsch?,Sprichst du Georgisch?
Ik will em anropen. Hest du sien Telefoonnnummer?,Ich will ihn anrufen. Hast du seine Telefonnummer?
Brian nöhm en poor Rosen.,Brian nahm ein paar Rosen.
Woveel Böker hest du denn?!,Wie viele Bücher hast du denn?!
Un diene Süster?,Und deine Schwester?
Du hest di temlich verännert.,Du hast dich sehr verändert.
"Wenn du Freden wullt, denn maak di för ’n Krieg praat.","Wenn du Frieden willst, bereite dich auf den Krieg vor."
He hett dat Water mit sien Foot raakt.,Er hat das Wasser mit seinem Fuß berührt.
Wat schall dat för Edinburgh bedüden?,Was wird das für Edinburgh bedeuten?
Dat fallt mi nich licht.,Das fällt mir nicht leicht.
He füll in ’n Stroom.,Er fiel in den Fluss.
De Oost is en Blangenstroom von de Elv.,Die Oste ist ein Nebenfluß der Elbe.
Ik bün trurig.,Ich bin traurig.
Dat Speel weer traag un langwielig.,Das Spiel war langsam und langweilig.
Mien Puckel deit weh.,Mein Rücken tut weh.
Mien Puckel deit weh.,Mein Rücken schmerzt.
Se hett em en Hemd köfft.,Sie hat ihm ein Hemd gekauft.
Se is uns Naversch.,Sie ist unsere Nachbarin.
De lüttste Eerddeel is Australien.,Der kleinste Kontinent ist Australien.
De lüttste Eerddeel is Australien.,Der kleinste Erdteil ist Australien.
Se wull dat Geld nich annehmen.,"Sie weigerte sich, das Geld anzunehmen."
Giff op!,Gib es auf!
Giff op!,Gib auf!
In de drüdde Stünn hebbt wi Franzöösch.,In der dritten Stunde haben wir Französisch.
Steerns sünd gewaltig grote Plasmabäll.,Sterne sind gigantische Plasmabälle.
"De Nacht weer so düüster, meist so düüster as ehr Hart.","Die Nacht war so schwarz, fast so schwarz wie ihr Herz."
"He weet nich, wat he doon schall.","Er weiß nicht, was er tun soll."
Ehr Muskeln sünd stiev.,Ihre Muskeln sind steif.
Dor is en groot Lock in ’e Wand.,Da ist ein großes Loch in der Wand.
De Wecker geiht teihn Minuten vör.,Der Wecker geht zehn Minuten vor.
Wi bruukt Füür.,Wir brauchen Feuer.
Fangt wi op Sied 30 an.,Fangen wir auf Seite 30 an.
Worüm kummst du uns nich besöken?,Warum kommst du uns nicht besuchen?
He is Maandag na New York föhrt.,Er ist am Montag nach New York gefahren.
Heff ik wat verpasst?,Habe ich etwas verpasst?
Ken hool op to snacken un füng an to eten.,Ken hörte auf zu sprechen und fing zu essen an.
Dat is uns Huus.,Das ist unser Haus.
Faat dat nich an.,Fass es nicht an.
De Tog is jüst afföhrt.,Der Zug ist soeben abgefahren.
Wat för ’n Soort Eten magst du geern?,Was für ein Essen magst du gerne?
Ken un Meg sünd all beid mien Frünnen.,Ken und Meg sind beide meine Freunde.
Wat för en Nettkieker bruukst du?,Was für einen Browser benutzt du?
Wat för en Nettkieker bruukst du?,Welchen Netznavigator verwendest du?
Wat för en Nettkieker bruukst du?,Welchen Netzgucker gebrauchst du?
Normalerwies geiht se Klock negen slapen.,Meistens geht sie um neun Uhr schlafen.
Ik eet nich.,Ich esse nicht.
Ehr Plaan lett beter as mien.,Ihr Plan erscheint mir besser als meiner.
Deit mi leed.,Verzeihung.
Deit mi leed!,Tut mir leid!
Dröff ik disse Appelsien eten?,Kann ich diese Orange essen?
Dröff ik disse Appelsien eten?,Kann ich diese Apfelsine essen?
Hest du Melk?,Hast du Milch?
Noch en lütt beten.,Noch ein kleines bisschen.
Se hett allens kaputtmaakt!,Sie hat alles kaputt gemacht!
Nu is de Aven ut.,Jetzt ist der Ofen aus.
De Sommer is vörbi.,Der Sommer ist vorbei.
De Sommer is vörbi.,Der Sommer ist zu Ende.
Vergeet dat. Dat is de Möh nich weerd.,"Vergiss es, das ist die Mühe nicht wert."
Ik bün in Paris.,Ich bin in Paris.
De Born is dröög.,Der Brunnen ist trocken.
Deit jo dat leed?,Tut es euch leid?
Deit jo dat leed?,Tut dir das leid?
Finger weg von de Schokolaad!,Finger weg von der Schokolade!
Tom hett Mary op ’n Weg na School drapen.,Tom hat Mary auf dem Schulweg getroffen.
Tom see nix.,Tom sagte nichts.
Vonwegen den Storm kunnen wi dat misste Kind nich söken.,Aufgrund des Sturmes konnten wir das vermisste Kind nicht suchen.
De Dänserinnen harrn sik opfleet.,Die Tänzerinnen hatten sich hübsch angezogen.
"Ik weet nich, wannehr he trüggkummt.","Ich weiß nicht, wann er zurückkommt."
Du büst dämelig.,Du bist dumm.
He deed in Holschen afbotten.,Er stiefelte in Holzschuhen fort.
Wies mi dien!,Zeige mir deins!
He is op ’t Partermang.,Er ist auf der Toilette.
Dor is en gele Roos.,Da ist eine gelbe Rose.
Se hett em vördull peddt.,Sie hat ihn arg getreten.
’Keen von de Jungs in dien Klass singt opbest?,Wer von den Jungen in deiner Klasse singt am besten?
Se hebbt keen Spaansch snackt.,Sie sprachen kein Spanisch.
De Tog weer vonwegen en Sneestorm twee Stünnen to laat.,Der Zug hatte wegen eines Schneesturms 2 Stunden Verspätung.
Se hett em instellt.,Sie hat ihn eingestellt.
He mag kene Appelsienen.,Er mag keine Apfelsinen.
Kann ik en Busfohrplaan kriegen?,Könnte ich einen Busfahrplan bekommen?
"Se hett nich maal versöcht, dat richtige to doon.","Sie hatte nicht einmal versucht, das Richtige zu tun."
Ik heff veel an di dacht.,Ich habe viel an dich gedacht.
De hoge Luftfuchtigkeid maakt mi ganz dösig.,Die hohe Luftfeuchtigkeit macht mich ganz müde.
Du musst vörsichtiger wesen.,Du musst vorsichtiger sein.
De Heven verdüüster sik.,Der Himmel verdunkelte sich.
Disse Schrievdisch is ut Holt.,Dieser Schreibtisch ist aus Holz.
Du musst gahn.,Du musst gehen.
"Ik kann mi besinnen, wat he seggt hett.","Ich erinnere mich daran, was er gesagt hat."
Ik weet nix över ehr Plaans.,Ich weiß nichts über ihre Pläne.
Öösterriek is al 1978 ut de Atomenergie utstegen.,Österreich ist bereits 1978 aus der Atomenergie ausgestiegen.
De Schoolmeester sitt op ’n Stohl.,Der Lehrer sitzt auf dem Stuhl.
Ik mag Spraken!,Ich mag Sprachen!
Büst du en Töverer?,Bist du ein Zauberer?
Ik kann nich besünners good kieken.,Ich sehe nicht sehr gut.
Du musst di spoden.,Du musst dich beeilen.
Du musst di spoden.,Du musst dich sputen.
Wi köönt de Achtersied von ’n Maand nich sehn.,Wir können nicht die Hinterseite des Mondes sehen.
Worüm is he mucksch?,Warum ist er beleidigt?
Ik bün noch nicht meud.,Ich bin noch nicht müde.
De Patient liggt op dat Dodenbedd.,Der Patient liegt auf dem Totenbett.
Jim mag den Dokter.,Jim mag den Arzt.
Jim mag den Dokter.,Jim mag den Doktor.
Sünd Tom un Ria all beid to laat to’n Ünnerricht komen?,Sind Tom und Maria alle beide zu spät zum Unterricht gekommen?
Se sünd op en eensame Insel utsett worrn.,Sie wurden auf einer einsamen Insel ausgesetzt.
Se höör stünnenlang Musik.,Sie hörte stundenlang Musik.
"Ik weet, dat Marko krank wesen is.","Ich weiß, dass Marko krank gewesen ist."
Wat is dat?,Was ist das?
Woveel Nachten blieft ji?,Wie viele Nächte bleibt ihr?
Se is wiss över veertig.,Sie ist mit Sicherheit über vierzig.
Du hest twee Böker.,Du hast zwei Bücher.
Hest du twee Böker?,Hast du zwei Bücher?
He itt keen rohen Fisch.,Er isst keinen rohen Fisch.
Ik kenn dat Geföhl.,Ich kenne das Gefühl.
Ik gah vonavend mit Lisa ut.,Ich gehe heute Abend mit Lisa aus.
Laat uns verpuusten.,Lass uns eine Pause machen.
Laat uns verpuusten.,Lasst uns eine Pause machen.
Wo lang kann ik mi dit Book utlehnen?,Wie lang kann ich mir dieses Buch ausleihen?
Mien Geboortsdag is in ’n Juli.,Mein Geburtstag ist im Juli.
Wat is de Ünnerscheed twischen en Duuv?,Was ist der Unterschied zwischen einer Taube?
Ria toog sik an.,Maria zog sich an.
Ik heff noch nix daan.,Ich habe noch nichts getan.
Tohuus gah ik lever barft.,Zu Hause gehe ich lieber barfuß.
Tracy hett ehr Brill verloren.,Tracy hat ihre Brille verloren.
Swiegen is Gold.,Schweigen ist Gold.
"Ik bün nich paranoid, de sünd worraftig achter mi her!","Ich bin nicht paranoid, sie sind tatsächlich hinter mir her!"
De Chineesch Müür is mehr as 5.500 Mielen lang.,Die Chinesische Mauer ist mehr als 5.500 Meilen lang.
De Hund is dood.,Der Hund ist tot.
Ik verlaat Tatoeba.,Ich verlasse Tatoeba.
De Düvel schitt jümmer op den gröttsten Hümpel.,Der Teufel scheißt immer auf den größten Haufen.
Hest du en Trüggfohrkoort köfft?,Hast du eine Rückfahrkarte gekauft?
"Dat is en Huus, jüst as dat, wat ik sehn heff.","Es ist ein Haus, genau wie das, was ich gesehen habe."
Du blöddst an ’e Nees.,Du blutest an der Nase.
Dat is för en Fründ von mi.,Es ist für einen Freund von mir.
"Tööv man, ik roop Jimmy.","Warte kurz, ich rufe Jimmy."
Bob deed Pastoor warrn.,Bob wurde ein Pfarrer.
Se wahnt alleen in de Kamer.,Sie wohnt alleine in dem Zimmer.
Se wahnt alleen in de Kamer.,Sie wohnt allein in dem Zimmer.
"Maak dat man glieks, dat du dat nich vergittst.","Mache es gleich, damit du es nicht vergisst."
Woans se snackt!,Wie sie spricht!
De Bökerladen is dicht bi ’n Park.,Der Buchladen ist nahe am Park.
Ik bün de Gröttste in mien Klass.,Ich bin der Größte in meiner Klasse.
Hett Tom Kinner?,Hat Tom Kinder?
Gest du dat to ’n eersten Maal pröövt?,Hast du das das erste Mal gekostet?
Jeedeen drünk en Glas.,Jeder trank ein Glas.
"Tom will, dat siene Kinner Franzöösch lehrt.","Tom will, dass seine Kinder Französisch lernen."
"Sütt ut, as wenn Bikinis dit Johr in sünd.","Es sieht aus, als ob Bikinis in diesem Jahr Mode sind."
"Vertell em dat, wenn he trüggkummt.","Erzähle ihm das, wenn er zurückkommt."
Disse Stohl is för mi to sied.,Dieser Stuhl ist zu niedrig für mich.
Disse Stohl is to sied för mi.,Dieser Stuhl ist zu niedrig für mich.
Disse Stohl is to sied för mi.,Dieser Stuhl ist für mich zu niedrig.
Disse Stohl is för mi to sied.,Dieser Stuhl ist für mich zu niedrig.
Ik bün jüst von de Post trüggkamen.,Ich bin gerade von der Post zurückgekommen.
Töövst du op een?,Wartest du auf jemanden?
Laat uns eten gahn.,Lasst uns essen gehen.
"Ik weet nich, wat he dood oder lebennig is.","Ich weiß nicht, ob er tot oder lebendig ist."
Ik kaam ut dat Swavenland.,Ich komme aus dem Schwabenland.
"Warrt seggt, de Leevd maakt blind.","Man sagt, Liebe mache blind."
Ik heff keen Kinner.,Ich habe keine Kinder.
Lees dissen Satz nich.,Diesen Satz nicht lesen!
Dat Gras von de Navers is alltied gröner.,Das Gras der Nachbarn ist immer grüner.
"Ik gläuv, Tom meent, dat ik dat denk.","Ich glaube, Tom meint, dass ich das denke."
Ik weer bang to laat to wesen.,Ich fürchtete zu spät zu sein.
Ik weer bang to laat to wesen.,Ich hatte Angst mich zu verspäten.
Twee maal dörteihn is sössuntwintig.,Zwei mal dreizehn ist sechsundzwanzig.
"Wiss kansst du dat nehmen, wenn du dat wullt.","Natürlich kannst du es nehmen, wenn du es willst."
Dat is dat Gesett.,Das ist das Gesetz.
"Ofschoonst Grööndunnersdag na ’t Gesett keen Fierdag is, gellt an dissen Dag na Paragraaf 10 von dat Fierdaaggesett in Baden-Württembarg en Dansverbaad.","Obwohl der Gründonnerstag kein gesetzlicher Feiertag ist, gilt an diesem Tag nach Paragraph 10 des Feiertagsgesetzes in Baden-Württemberg ein Tanzverbot."
Kannst du disse Taschen in ’n Kuffer packen?,Kannst du diese Taschen in den Koffer packen?
Woneem is Noorden?,Wo ist Norden?
Ahn Water kunn nüms op de Welt leven.,Ohne Wasser könnte niemand auf der Erde leben.
Frankriek hett wat gegen Taters.,Frankreich hat etwas gegen Zigeuner.
Gah in ’n Park.,Geh in den Park.
Wat is di wichtig?,Was ist dir wichtig?
Ik heff in mien Goorn en Peerschboom plant.,Ich habe in meinem Garten einen Pfirsichbaum gepflanzt.
"Weetst du, worüm as he nich in ’e School weer?","Weißt du, warum er nicht in der Schule war?"
Du kannst würklich temlich good neihn.,Du kannst wirklich sehr gut nähen.
Wannehr hest du em dat eerste Maal drapen?,Wann hast du ihn zum ersten Mal getroffen?
Büst du dood?,Bist du tot?
Ik kann jo nich noog laven.,Ich kann euch nicht genug loben.
Kummst du to mien Fier?,Kommst du zu meiner Party?
"Dor weren Schäpers, de op jemehr Hood oppassen deden.","Da waren Schäfer, die auf ihre Herde aufpassten."
Na ’t Lüchten keem dat Rummeln.,Nach dem Blitz kam der Donner.
"Ik heff em drapen, as ik in Paris weer.","Ich habe ihn getroffen, als ich in Paris war."
He dor! Höörst du mi?,Hallo! Hörst du mich?
Mööt wi den Bus nehmen?,Müssen wir den Bus nehmen?
De Tähndokter hett mi mien fulen Tähn trocken.,Der Zahnarzt hat mir meinen schlechten Zahn gezogen.
Se hett nich veel Geld.,Sie hat nicht viel Geld.
He smöökt nich.,Er raucht nicht.
Toern Maandag is en Fierdag.,Der nächste Montag ist ein Feiertag.
"So as de Amerikaners Baseball geern hebbt, hebbt de Briten Cricket geern.","So wie die Amerikaner Baseball mögen, mögen die Briten Cricket."
Wo lang slöppt en Boor?,Wie lange schläft ein Bär?
Wi doot dat jedet Johr.,Wir tun das jedes Jahr.
In ’e Köök is en Katt.,In der Küche ist eine Katze.
"He hett sik anwennt, mit Butenlanners to snacken.","Er hat sich angewöhnt, mit Ausländern zu sprechen."
"Mi dücht, wi schullen noch en halve Stünn töven.","Ich glaube, wir sollten noch eine halbe Stunde warten."
Vandaag heff ik nigge Holsken köfft.,Heute habe ich neue Holzschuhe gekauft.
He kann good kaken.,Er kann gut kochen.
Dat bruuk ik.,Das brauche ich.
Worüm sünd wi hier?,Warum sind wir hier?
Hier is mien Telefoonnummer.,Hier ist meine Telefonnummer.
Se hett een Söhn un twee Döchter.,Sie hat einen Sohn und zwei Töchter.
Büst du mit dien Arbeid trech?,Bist du mit deiner Arbeit fertig?
Ik weer noch nie in Neeseeland.,Ich war niemals in Neuseeland.
En Krokodiel hett em dat Been afbeten.,Ein Krokodil hat ihm das Bein abgebissen.
"Ik heff Lust, Hebrääsch to lehren.",Ich habe Lust Hebräisch zu lernen.
Se kunn ehr Ogen nich von em kriegen.,Sie konnte ihre Augen nicht von ihm abwenden.
Wat för en Swienkraam!,Was für eine Sauerei!
He deed önnig jappen.,Er gähnte ausgiebig.
"Ik mag em nich, aver ik mag ehr.","Ich mag ihn nicht, aber ich mag sie."
Tom is temlich swipp.,Tom ist sehr geschickt.
Ik will keen Fleesch.,Ich will kein Fleisch.
Tom deed sien Fööt schrubben.,Tom schrubbte seine Füße.
Se hett een Dutz Eier köfft.,Sie kaufte ein Dutzend Eier.
Uns Team hett den Weddstried wunnen.,Unsere Mannschaft hat das Spiel gewonnen.
"Ik kann mi nich besinnen, woneem ik dat köfft heff.","Ich kann mich nicht erinnern, wo ich es gekauft habe."
Neptun is de achte Planeet von dat Sünnsysteem.,Neptun ist der achte Planet des Sonnensystems.
Ik bün in teihn Minuten trügg.,Ich bin in zehn Minuten zurück.
De Töög föhrt all twee Stünnen.,Die Züge fahren alle zwei Stunden.
"Sodraag se trügg is, roop ik jo an.","Sobald sie zurück sind, rufe ich euch an."
Wannehr harr se dissen Unfall?,Wann hatte sie diesen Unfall?
Wi maakt jüst Plaans för de Feern.,Wir machen gerade Pläne für die Ferien.
"Ik bruuk een, de mi in ’n Arm nimmt un mi seggt, dat allens wedder good warrt.","Ich brauche jemand, der mich in den Arm nimmt und mir sagt, dass alles wieder gut wird."
Ik bün grötter as he.,Ich bin größer als er.
