rgn,ita,title,author,poem_id
“Parchè ch’un suzida piò!”.,“Perché non succeda più!”.,Gli uomini,amici,amici__0
"Quant volti ch’a l’avèm sintida,",Quante volte l’abbiamo sentita:,Gli uomini,amici,amici__0
l’è una fresa ch’la s dis sèmpar:,è una frase che si dice sempre.,Gli uomini,amici,amici__0
"giurnél, TV, internet.","Giornali, TV, Internet,",Gli uomini,amici,amici__0
"Gueri dimpartot,","guerre dappertutto,",Gli uomini,amici,amici__0
l’avidità dj’oman,l’avidità degli uomini,Gli uomini,amici,amici__0
la s porta a e’ disastar.,ci porta al disastro.,Gli uomini,amici,amici__0
"Trócval, dulor, morta.","Macerie dovunque, dolore, morte.",Gli uomini,amici,amici__0
E quaicadun us fa sgnór!,E qualcuno diventa più ricco.,Gli uomini,amici,amici__0
E’ svuit,Il vuoto,Gli uomini,amici,amici__0
"T ci zovan t’é la murosa, la t lasa","Sei giovane, hai la morosa, ti lascia",Gli uomini,amici,amici__0
"un svuit, un dulor","un vuoto, un dolore",Gli uomini,amici,amici__0
t'al rimpes cun un’eta.,lo riempi con un'altra.,Gli uomini,amici,amici__0
"T’at spus, la moj lat lasa","Ti sposi, la moglie ti lascia",Gli uomini,amici,amici__0
un svuit un dulor,"un vuoto, un dolore",Gli uomini,amici,amici__0
t’al rimpes cun un’eta.,lo riempi con un'altra.,Gli uomini,amici,amici__0
U t lasa la ma,Ti lascia la madre,Gli uomini,amici,amici__0
t’a n’e’ rimpes cun un’eta,non lo riempi con un'altra,Gli uomini,amici,amici__0
u j armenza i ricurd,rimangono i ricordi,Gli uomini,amici,amici__0
T ci néda tra al do gueri,Sei nata fra le due guerre,Donna d'altri tempi (alla mamma),amici,amici__1
"Da zovna, tra gnint e poch ad tot",da giovane fra niente e poco di tutto,Donna d'altri tempi (alla mamma),amici,amici__1
"T’at ci spuseda, te avù di fiul","Ti sei sposata, hai avuto figli",Donna d'altri tempi (alla mamma),amici,amici__1
"Poch rispet, coma tot al doni",poco rispetto come tutte le donne,Donna d'altri tempi (alla mamma),amici,amici__1
L’andeva acsé l’era chi timp,"Andava così, erano quei tempi",Donna d'altri tempi (alla mamma),amici,amici__1
"T ci guanteda nòna, t’é carsù i tu anvudin","Sei diventata nonna, hai cresciuto i tuoi nipotini",Donna d'altri tempi (alla mamma),amici,amici__1
"T’at ci fata in quatar,",ti sei fatta in quattro,Donna d'altri tempi (alla mamma),amici,amici__1
al pió dal volti t’an gn’infruntiva,il più delle volte non ci azzeccavi,Donna d'altri tempi (alla mamma),amici,amici__1
ades che la candela la s morta,adesso che la candela si spegne,Donna d'altri tempi (alla mamma),amici,amici__1
