ita_word,rgn_var1,rgn_var2,rgn_var3,n_variants,n_in_test
accompagna,acumpagna,acumpâgna,,2,1
addormento,andurmint,indurmòint,,2,1
addosso,adös,mados,madòs,3,2
aeroplano,aeroplano,areoplano,,2,1
allarga,slaerga,slærga,,2,2
almeno,almèinch,emainch,,2,1
andiamo,andam,andama,andema,3,2
arrivato,arvat,rivat,,2,2
asse,às,àsa,,2,1
avere,avoe,avòe,,2,1
barca,bærca,bêrca,,2,1
buco,bus,buş,béus,3,2
burrone,buroun,buròun,,2,1
canta,caenta,cânta,,2,1
carezze,carezi,carèz,carèzzi,3,1
catino,cadein,cadòin,,2,1
cerca,zirca,zòirca,,2,2
certo,cert,cért,,2,1
cervello,zarvel,zarvèl,zarvël,3,3
cesena,cesoena,ceséina,cisena,3,1
chicco,garnela,garnël,,2,1
chilo,chel,chél,,2,2
comodino,cumuden,cumudoen,,2,1
contrada,cuntreda,cuntrèda,,2,1
cornicione,curnison,curnisoun,,2,1
corona,curòuna,curóna,,2,1
cortile,curtéil,curtìl,,2,0
credenza,cardanzèin,cardenza,cardênza,3,1
dimenticare,scurdè,zcurdæ,,2,1
disgrazia,sgrezia,sgrèzia,,2,1
diventa,dventa,dvinta,,2,2
domani,admen,admèn,dman,3,1
età,età,etê,,2,1
facendo,fasènd,fasénd,,2,2
fermi,afirum,fìrum,,2,0
fiume,fiom,fiume,,2,0
fontana,funtâna,funtæna,,2,1
forse,forsé,furs,fórsi,3,1
fossa,fosa,fòsa,,2,0
fratello,fradel,fradël,,2,1
galera,galira,galéra,,2,1
guardarla,guardèla,guardëla,,2,0
guardavano,guardéa,guardéva,,2,0
illusione,illusioun,ilusioun,,2,2
innamorato,inamurè,innamured,,2,1
insomma,insomma,insäma,,2,1
lampioni,lampion,lampiéun,,2,0
lega,lega,liga,,2,0
legno,legno,lègn,légn,3,1
maglione,maion,maiòun,,2,0
moglie,moi,moj,,2,0
montare,montae,muntae,,2,2
moriamo,murema,murémm,,2,0
morosa,murosa,muròusa,,2,0
morsi,mors,murs,,2,1
nata,nèda,néda,,2,0
nato,naséu,nasù,,2,1
navi,nevi,nèvi,,2,1
nera,negra,nira,,2,2
nuca,copa,còppa,,2,0
nuda,nouda,néuda,,2,1
numeri,nomar,nómar,,2,1
pace,pæsa,pêsa,,2,1
paradiso,paradis,paradiş,paradèis,3,2
parti,parti,pèrti,,2,1
pianta,piaenta,pienta,,2,1
piccole,zneini,znìni,,2,1
poltrona,poltrona,pultróna,,2,2
razza,raza,razza,,2,1
resta,resta,rstè,rèsta,3,2
ricordi,arcurd,ricurd,,2,1
riempie,impinés,impnès,,2,1
rosa,rosa,rósa,rôsa,3,2
ruote,rodi,rödi,,2,1
sangue,sang,sângv,,2,0
sapeva,saveva,savoiva,,2,1
sbarre,sbari,şbar,,2,0
scarpe,scaerpi,scherpi,,2,1
scienziato,scienziato,scienzied,,2,2
scioglie,squaia,squàia,,2,1
sentivo,santiva,sintéva,,2,0
sepolto,splei,splì,,2,1
spalancati,spalanchid,spalanchéd,,2,1
sparsi,sparguiè,spargujèun,,2,0
sposato,spusè,spuşé,,2,2
sprazzi,sprai,sprazz,,2,1
spruzzi,scvézz,squézz,,2,1
statue,stètui,stêtui,,2,1
stavamo,stémie,stémmi,,2,0
steso,stés,stéṡa,,2,1
strozzare,struzæ,struzè,,2,1
successo,successo,succès,,2,1
tagliere,tulir,tulìr,,2,1
testamento,testamint,testamént,,2,1
tingono,tènz,ténz,,2,1
torna,tòurna,tórna,,2,0
uccello,gazot,gazòt,,2,2
uscendo,scapand,scapènd,,2,1
vederla,avdàila,avdéla,,2,1
veniva,avnéva,vnéva,,2,0
