de_word,nds_var1,nds_var2,nds_var3,nds_var4,n_variants,n_in_test
alt,oold,oolt,,,2,2
alten,ole,olen,,,2,2
alter,öller,öllern,,,2,2
angefangen,anfangen,anfungen,,,2,2
angezogen,antagen,antogen,,,2,2
anschauen,ankieken,bekieken,,,2,2
autos,auto,autos,,,2,2
bald,bald,bold,,,2,2
bart,boord,boort,,,2,2
bauen,boon,boot,,,2,2
beigebracht,bibrocht,bibröcht,,,2,2
bemerkt,markt,merkt,,,2,2
bestellen,bestellen,bestellt,,,2,2
blauen,blaue,blauen,,,2,2
bleiben,blieven,blievt,,,2,2
bleistifte,bleesticken,bleestickens,,,2,2
brief,breef,breev,,,2,2
bruder,broder,broer,,,2,2
computer,computer,computers,,,2,2
deutschland,diutschland,düütschland,,,2,2
diamanten,demant,demanten,,,2,2
englische,engelsch,engelsche,,,2,2
eröffnen,opmaken,optomaken,,,2,1
familie,famielje,familie,,,2,2
fehler,fehler,fehlers,fähler,fählers,4,3
fest,fast,fest,,,2,2
flaschen,buddel,buddeln,buddels,,3,2
frau,fro,froo,,,2,2
frisst,frett,fritt,,,2,2
früher,freuher,fröher,,,2,2
fühlte,föhl,föhlt,,,2,2
gebeten,beden,bäden,,,2,2
gefallen,fallen,fullen,gefullen,,3,2
gefunden,finnen,funnen,,,2,2
geholfen,holpen,hulpen,,,2,2
geliehen,lehnt,utlehnt,,,2,2
gestern,ehrgüstern,gistern,güstern,,3,2
gib,geev,geevt,,,2,2
gibt,gifft,gift,guifft,,3,2
glaube,glööv,lööv,,,2,2
glauben,glöven,löven,,,2,2
glaubst,gläuvst,glöövst,löövst,,3,2
hauptstadt,hööftstadt,höövdstad,,,2,2
herrn,herr,herrn,,,2,2
heute,vondaag,vundaag,,,2,2
hilfe,help,hülp,,,2,2
hitze,hiit,hitt,hitte,,3,2
hunger,hunger,hungerig,,,2,2
kalt,koold,koolt,,,2,2
kaninchen,kaninken,knienken,kniepen,kninken,4,2
kirschen,karsbeer,karsbeern,,,2,1
kommt,kummt,kümmt,,,2,2
krebs,kreeft,kreevt,,,2,1
laufen,lopen,löpen,,,2,2
lesen,lesen,läsen,,,2,2
linken,linke,linken,,,2,2
läufer,löper,löpers,,,2,1
lügen,legen,lögen,,,2,2
mensch,minsch,minschen,,,2,2
millionen,milljonen,milljoon,,,2,2
morgens,morgen,morgens,smorgens,smörgens,4,2
muss,mott,mutt,mütt,,3,2
mutter,modder,moder,,,2,2
mädchen,deern,deerns,,,2,2
möbel,möbel,möbels,,,2,2
namen,naam,naams,,,2,2
neuen,ne'e,ne'en,,,2,2
nur,bloot,bloots,blot,,3,3
passiert,passeert,passert,,,2,2
problem,probleem,probleems,problem,,3,2
reicht,recht,reckt,,,2,2
rein,rein,rin,,,2,2
richtig,düchtig,richtig,,,2,2
roten,rode,roden,,,2,2
schlüssel,slötel,slötels,,,2,2
schwimmen,swemmen,swemmt,swimmen,,3,2
schüler,schöler,schölers,,,2,2
sonntags,sünndaags,sünndag,sünndags,,3,2
spaß,spaaß,spaß,,,2,2
stadt,stad,stadt,,,2,2
stellen,steden,stellen,stellt,,3,2
streiten,strieden,striedt,,,2,2
studiert,studeert,studert,,,2,2
stück,stück,stücken,,,2,2
telefon,telefon,telefoon,,,2,2
tür,dör,döör,,,2,2
umgebracht,ümbrocht,ümbröcht,,,2,2
untersuchen,ünnerseuken,ünnersöken,,,2,2
vater,vadder,vader,,,2,2
wahrheit,wahrheit,wohrheid,wohrheit,,3,2
waschen,waschen,wascht,,,2,2
weihnachtsmann,wiehhachtsmann,wiehnachtsmann,,,2,1
weiser,wiesen,wieser,,,2,2
weit,wied,wiet,,,2,2
woche,week,welk,,,2,2
wolf,wulf,wulv,,,2,2
wort,woord,woort,,,2,2
zeit,tied,tiet,,,2,2
äpfel,apeels,appeln,appels,,3,2
übersetzer,översetten,översetter,,,2,2
