de_word,nds_var1,nds_var2,nds_var3,nds_var4,nds_var5
kleinen,lütten:14,lütte:1
bruder,broder:78,broer:9
gehört,höört:78,tohöört:4,hört:3,häört:1
hat,hett:1064,het:4,hest:2,hätt:2
nicht,nich:1575,nicht:4,ich:2,nech:2
gestern,güstern:124,gistern:33,ehrgüstern:1
früh,froh:21,fröh:6
falschen,verkehrten:4,verkehrte:1
bus,bus:47,buss:1
gestiegen,stegen:3,instegen:1
mehr,mehr:192,mihr:8
das,dat:1508,datt:1
schwarze,swarte:6,swart:1
kostet,köst:35,kost:1
telefon,telefoon:23,telefon:1
verstehe,verstah:30,verstoh:2
deutsch,düütsch:26,diutsch:3,düütsk:1
kein,keen:150,kien:3
wenn,wenn:257,ween:1
hinter,achter:41,rachter:1
kannst,kannst:139,kanns:3,kansst:1,kanst:1,kunnst:1
beste,beste:9,best:6
sein,sien:116,sin:1
teufel,düvel:7,düwel:2
seine,sien:121,siene:32
karte,koort:21,koorten:1
soll,schall:73,schull:8
dieser,disse:120,düsse:12,dissen:2
japanische,japaansche:6,japansche:1
lassen,laten:27,laoten:1,loten:1
gehen,gahn:111,gaht:21,gohn:2
gibt,gifft:142,gift:1,guifft:1
anschauen,ankieken:3,bekieken:1
sprichst,snackst:21,snackt:2
hast,hest:425,gest:2,hess:1
telefonnummer,telefoonnummer:9,telefonnummer:2,telefoonnnummer:1
will,will:166,wull:5,wil:2
nahm,nöhm:14,nehm:5
vater,vader:121,vadder:11
frau,froo:72,fro:5
träume,drööm:4,deööm:1
deine,dien:103,diene:24,den:1
sehr,temlich:94,teemlich:2
gegeben,geven:34,gäven:7
mein,mien:343,miene:2
willst,wullt:74,wullst:1
vor,vör:210,vüör:1
wasser,water:102,woter:1
abend,avend:32,abend:1,ovend:1
schüler,schölers:17,schöler:5
hier,hier:176,huer:1
herrn,herrn:4,herr:2
warum,worüm:219,waorüm:1
fragen,fragen:27,frogen:3
gekauft,köfft:92,kofft:5
gib,geev:18,geevt:1
gesucht,söcht:14,socht:1
gefunden,funnen:43,finnen:1
dritten,drüdde:3,drüdden:1
französisch,franzöösch:24,fransch:16
tun,doon:111,doot:10
andere,annere:28,anner:6,annern:2
leute,lüüd:64,lüd:1
wer,keen:112,een:1
besucht,besöcht:24,besökt:1
fragte,fröög:8,frööh:1
ihre,ehr:67,ehre:4,ehrn:1
zehn,teihn:84,tein:1
geht,geiht:114,geit:3
brauchen,bruukt:25,brukt:1
feuer,füür:19,füer:1
gekommen,kamen:40,komen:4
besuchen,besöken:18,beseuken:3
kommst,kummst:21,kümmst:1
sprechen,snacken:42,snackt:9
essen,eten:123,äten:4
neuen,ne'en:9,ne'e:6
fass,fatt:4,faat:1
angefangen,anfungen:17,anfangen:1
gerne,geern:120,giern:6
meine,mien:211,miene:108,meen:2
beide,beid:19,beide:2
freunde,frünnen:32,frünn:22
benutzt,bruukt:9,bruukst:3
browser,nettkieker:2,nettkiekers:1
zeit,tied:143,tiet:6
besser,beter:97,bäter:3,better:1
meiner,mien:53,miene:15
erscheint,dükert:1,opdükert:1
kann,kann:369,kunn:7,kan:1
diese,disse:176,düsse:7
bisschen,beten:53,beetken:1,bietken:1
ende,enn:13,denn:1
bier,beer:43,bier:1
wert,weerd:10,weert:4
vergiss,vergeet:15,vergitt:2
alphabet,alfabeet:3,alphabeet:2
kommt,kummt:104,kümmt:6
schokolade,schokolaad:6,schokelaad:1,schoklaad:1
finger,finger:24,fingers:2
getroffen,drapen:36,dropen:6
sagte,seed:31,see:4
sich,sik:277,sick:4
bist,büst:208,büs:4,böst:1,bünt:1
dumm,dumm:13,dum:1
deiner,dien:15,diene:3
jungen,jungs:21,jung:13,jugs:1,junge:1
besten,besten:7,beste:1
stunden,stünnen:48,stunnen:3
keine,keen:128,keene:1
bekommen,kregen:34,kriegen:17
könnte,kunn:25,kann:12,unn:1
einmal,maal:29,mal:1
macht,maakt:56,maak:1
muttersprache,moderspraak:10,moddersprook:2
hilft,helpt:12,hölpt:1
kennenzulernen,kennentolehren:3,kennentolihren:1
gut,good:166,goot:14,geod:1
sehen,sehn:54,seht:19,seen:2
alten,olen:12,ole:7
alle,all:111,alle:3
musik,musik:16,musiek:4
gewesen,wesen:41,wäsen:6
bleibt,blifft:6,blieft:1
vierzig,veertig:10,vertig:2
zwei,twee:209,twe:2
mädchen,deern:81,deerns:22
kenne,kenn:41,kennt:2
lass,laat:59,lat:1
lang,lang:48,langs:2
kinder,kinner:88,kinners:2
zwischen,twüschen:11,twischen:9
hilfe,hülp:21,help:1
gebeten,beden:7,bäden:1
dein,dien:113,diene:2,din:1
mutter,moder:66,modder:3
chinesische,chineesch:2,chineesche:2
tot,dood:26,doot:1
hunger,hunger:14,hungerig:2
kennt,kennt:42,kinnt:1
woche,week:74,welk:1
immer,jümmer:172,ümmer:4,jümmers:2
scheißt,schittst:2,schitt:1
gesehen,sehn:87,sehen:1
kurz,kort:15,kott:2
zimmer,kamer:63,komer:2,kamern:1
allein,alleen:36,allen:1
schwimmen,swemmen:51,swemmt:4,swimmen:1
linken,linke:2,linken:1
taub,doov:7,doof:1
mache,maak:13,maakt:1
vergisst,vergitt:2,vergittst:1
gleich,glieks:25,gliek:7
spricht,snackt:54,snacken:1
größte,gröttste:17,gröttst:1
mal,maal:60,mal:4,maol:2
erste,eerste:26,eersten:1
trank,drünk:6,drunk:1
lernen,lehren:51,lihren:1
fünf,fiev:46,fief:1
sieht,sütt:56,süht:1
diesem,dissen:22,disse:1,düssen:1
nagel,nagel:2,nagels:1,nagen:1
nur,bloot:55,blot:15,bloots:4
problem,probleem:29,problem:3,probleems:1
zurückgekommen,trüggkamen:6,torüchkamen:2
englische,engelsche:14,engelsch:1
bauen,boon:6,boot:4
vögel,vagels:24,vogels:2
oder,oder:85,odder:1
diesen,dissen:56,düssen:16,disse:8
nachbarn,navers:11,naver:1
grüner,grönen:1,gröner:1
glaube,lööv:22,glööv:18
angst,bang:32,bange:1
tag,dag:115,daag:1
koffer,kuffer:4,kuffers:1
heute,vondaag:142,vundaag:4
leben,leven:73,läven:1
erde,eer:27,eerd:1
gegen,gegen:33,gägen:1,tegen:1
weißt,weetst:30,wettst:1
fehler,fehler:13,fehlers:13,fähler:4,fählers:1
ersten,eersten:15,eerste:6
machen,maken:58,moken:1
lange,lang:85,lange:16
waren,weren:61,wören:10,woren:3
schäfer,schäpers:2,schäper:1
stehen,stahn:9,staht:6
hält,höllt:10,hüllt:2,hölt:1
junge,jung:60,junge:7,jund:1
äpfel,appels:40,appeln:5,apeels:1
meinen,mien:90,miene:3
namen,naam:38,naams:2
seinen,sien:74,siene:1
raucht,smöökt:5,smökt:1
amerikaner,amerikaners:8,amerikaner:2
katze,katt:92,katte:1,katz:1
england,england:14,ingland:2
holzschuhe,holschen:1,holsken:1
bleiben,blieven:30,blievt:2
ganzen,ganzen:30,ganze:2
bett,bedd:44,bedde:2
sohn,söhn:40,söön:2
arbeit,arbeid:51,arbeit:5
erinnern,besinnen:4,besinnst:1
achte,acht:2,achte:1
fahren,föhren:33,fohren:1
sobald,sodraad:5,sodraag:1
treffen,drepen:7,drapen:4,dräpen:2
stadt,stad:65,stadt:8
geschrieben,schreven:57,schräven:1
anderen,annern:26,anner:10,annere:10,anneren:2
kindern,kinner:13,kinners:1
erschossen,doodschaten:1,dootschoten:1
kirche,kark:25,kerk:3
deinen,dien:50,diene:4
ganze,ganze:21,ganzen:1
reicht,reckt:13,recht:1
reden,snacken:23,snackt:4
antwort,antwoord:18,antwoort:2
nie,nie:47,nien:2
gleichen,sülve:3,sülven:3
redet,snackt:9,snack:1
gegangen,gahn:55,gohn:1
muss,mutt:155,mütt:2,mott:1
betrunken,duun:9,duune:3
doppelt,dubbelt:11,dubbeld:1
solltest,schusst:48,schullst:3,schußt:2
vergessen,vergeten:48,vergäten:7
hielt,höll:10,hööl:1
lesen,lesen:54,läsen:3
verlorene,verloren:2,verlorene:1
fand,fünn:4,funn:1
spaß,spaaß:16,spaß:3
königin,köningin:4,königin:3
computer,computer:9,computers:2
läuft,löppt:15,löpt:2
general,generaal:4,general:3
frisst,fritt:9,frett:1
dann,denn:65,dann:3,dunn:3
fenster,finster:43,finstern:3,fenster:1,finsters:1
deutschland,düütschland:18,diutschland:3
verkäufer,verkäuper:1,verköper:1
bank,bank:29,bänk:1
arbeiten,arbeiden:16,arbeidt:3,arbeden:1,arbeid:1
tür,döör:49,dör:1
abgeschlossen,afslaten:3,afsluten:1
nachtisch,natoeten:3,naeten:1
hört,höört:9,hört:1
hängt,hängt:4,hangt:2
sonntags,sünndags:7,sünndaags:5,sünndag:1
schöne,schöne:9,scheune:1
streiken,strieken:1,striekt:1
tage,daag:55,dag:1
werden,warrn:44,warrt:20
drei,dree:131,drie:1
alt,oold:78,oolt:3
möbel,möbel:2,möbels:2
viele,veel:103,veele:3
menschen,lüüd:31,lüdd:1
guten,goden:22,gode:1
gott,godd:35,god:1
nachbar,naver:7,nover:1
bald,bald:18,bold:2
niesen,pruuschen:1,pruusten:1
wetter,weder:21,wederk:1
stimme,stimm:4,stemm:3
gern,geern:46,giern:9,gern:1
mike,mike:9,mika:1
morgens,morgens:11,morgen:1,smorgens:1,smörgens:1
stück,stück:13,stücken:1
jahre,johr:83,joht:1
jüngster,jüngst:1,jüngsten:1
dachte,dach:6,dacht:3
erdbeben,eerdbeven:7,eerdbevens:3
mach,maak:25,mak:1
niederländisch,nedderlandsch:2,nedderländsk:1
schwer,swoor:26,swor:1
laut,luud:9,luut:1
ihren,ehren:19,ehrn:2
abendessen,avendeten:14,avendenten:1
aufgewachsen,opwussen:7,upwossen:1
traue,tro:2,troo:1
