rgn,ita,title
“Parchè ch’un suzida piò!”.,“Perché non succeda più!”.,Gli uomini
"Quant volti ch’a l’avèm sintida,",Quante volte l’abbiamo sentita:,Gli uomini
l’è una fresa ch’la s dis sèmpar:,è una frase che si dice sempre.,Gli uomini
"giurnél, TV, internet.","Giornali, TV, Internet,",Gli uomini
"Gueri dimpartot,","guerre dappertutto,",Gli uomini
"Trócval, dulor, morta.","Macerie dovunque, dolore, morte.",Gli uomini
E quaicadun us fa sgnór!,E qualcuno diventa più ricco.,Gli uomini
E’ svuit,Il vuoto,Gli uomini
"T ci zovan t’é la murosa, la t lasa","Sei giovane, hai la morosa, ti lascia",Gli uomini
"un svuit, un dulor","un vuoto, un dolore",Gli uomini
t'al rimpes cun un’eta.,lo riempi con un'altra.,Gli uomini
"T’at spus, la moj lat lasa","Ti sposi, la moglie ti lascia",Gli uomini
un svuit un dulor,"un vuoto, un dolore",Gli uomini
t’al rimpes cun un’eta.,lo riempi con un'altra.,Gli uomini
U t lasa la ma,Ti lascia la madre,Gli uomini
t’a n’e’ rimpes cun un’eta,non lo riempi con un'altra,Gli uomini
u j armenza i ricurd,rimangono i ricordi,Gli uomini
T ci néda tra al do gueri,Sei nata fra le due guerre,Donna d'altri tempi (alla mamma)
"Da zovna, tra gnint e poch ad tot",da giovane fra niente e poco di tutto,Donna d'altri tempi (alla mamma)
"T’at ci spuseda, te avù di fiul","Ti sei sposata, hai avuto figli",Donna d'altri tempi (alla mamma)
L’andeva acsé l’era chi timp,"Andava così, erano quei tempi",Donna d'altri tempi (alla mamma)
"T ci guanteda nòna, t’é carsù i tu anvudin","Sei diventata nonna, hai cresciuto i tuoi nipotini",Donna d'altri tempi (alla mamma)
al pió dal volti t’an gn’infruntiva,il più delle volte non ci azzeccavi,Donna d'altri tempi (alla mamma)
ades che la candela la s morta,adesso che la candela si spegne,Donna d'altri tempi (alla mamma)
t’an vu staché la spena,non vuoi staccare la spina,Donna d'altri tempi (alla mamma)
e incora patimint!,e ancora patimenti!,Donna d'altri tempi (alla mamma)
Ogni de’ ch’pasa,Ogni giorno che passa,La mano armata
u i n’è sèmpar ona dal nòvi:,ce n’è sempre una nuova:,La mano armata
"A t’voi ben, t’ci la mi vita,","Ti voglio bene, sei la mia vita,",La mano armata
t’è da stê’ sèmpar cun me.,devi stare sempre con me.,La mano armata
Cma farebia senza te?,Come farei senza di te?,La mano armata
Cma faresat senza me?,come faresti senza di me?,La mano armata
l’è un’êrma ad môrta.,è un’arma di morte.,La mano armata
int una poza ad sângv.,in una pozza di sangue.,La mano armata
"E pu basta, a m so stóff,","E poi basta, mi sono stufato,",Basta!
"l’è tótt i dè cumpàgn, u n s nu n po’ piò.","è tutti i giorni uguale, non se ne può più.",Basta!
A m ví fè crèss i bafi!,Mi voglio far crescere i baffi!,Basta!
"t vu ch’a n’e’ vègga che e’ mi Driano u s’ asarméa mi Panartéun? ch’ l’è Ferruccio spudéd, zò, ch’ l’è e’ su fiùl?","vuoi che non veda che il mio Adriano somiglia ai Panartéun? che è Ferruccio sputato, dai, che è suo figlio?",Suo padre
e alòura cs’òi da fè?,e allora cosa devo fare?,Suo padre
"e la nòta la n dórma,","e la notte non dorme,",Suo padre
"e’ dè u i vén i caldéun, la s zcórda al robi,","il giorno le vengono le caldane, si dimentica le cose,",Suo padre
"la piànz par gnént, cs’èll, a la ciap pr’e’ còl,","piange per niente, cosa faccio, la prendo per il collo,",Suo padre
"a rógg, a i déggh ch’ la è stèda una putèna?","urlo, le dico che è stata una puttana?",Suo padre
e mè? cs’èll ch’a so stè?,e io? cosa sono stato?,Suo padre
E dop a i e’ déggh ènca ma Driano?,E dopo lo dico anche ad Adriano?,Suo padre
"e cmè ch’a i déggh? che l’è e’ mi fiùl, però mè a n so e’ su bà?","e come gli dico? che è mio figlio, però io non sono suo padre?",Suo padre
mo léu csa i éintral?,ma lui cosa c’entra?,Suo padre
"ch’u m vó un bén che mai,","che mi vuole un bene,",Suo padre
"u s cunféida, u m dí tótt,","si confida, mi dice tutto,",Suo padre
"pu l’è ligar, l’à vòia ‘d lavurè,","poi è allegro, ha voglia di lavorare,",Suo padre
"l’è piò ligar ch’ né mè, e mènch zucòun, mènch parmalòus,","è più allegro di me, e meno testone, meno permaloso,",Suo padre
