rgn,ita,title
“Parchè ch’un suzida piò!”.,“Perché non succeda più!”.,Gli uomini
"Quand vólti ch’a l’avèm sintida,",Quante volte l’abbiamo sentita:,Gli uomini
l’è una fresa ch’la s dois sèmpar:,è una frase che si dice sempre.,Gli uomini
"giurnél, TV, internet.","Giornali, TV, Internet,",Gli uomini
"Gueri dimpartot,","guerre dappertutto,",Gli uomini
"Trócval, dulor, morta.","Macerie dovunque, dolore, morte.",Gli uomini
E quaicadun us fa sgnór!,E qualcuno diventa più ricco.,Gli uomini
E’ svuit,Il vuoto,Gli uomini
"T ci zovan t’é la muròusa, la t lassa","Sei giovane, hai la morosa, ti lascia",Gli uomini
"un vuit, un dulór","un vuoto, un dolore",Gli uomini
t'al rimpes cun un’eta.,lo riempi con un'altra.,Gli uomini
"T’at spus, la moj lat las","Ti sposi, la moglie ti lascia",Gli uomini
un svùit un dulùr,"un vuoto, un dolore",Gli uomini
t’al rimpes cun un’eta.,lo riempi con un'altra.,Gli uomini
U t lasa la ma,Ti lascia la madre,Gli uomini
t’a n’e’ rimpes cun un’eta,non lo riempi con un'altra,Gli uomini
u j arvènza i ricurd,rimangono i ricordi,Gli uomini
T ci nèda stra al do gueri,Sei nata fra le due guerre,Donna d'altri tempi (alla mamma)
"Da zovna, stra gnént e puch ad toti",da giovane fra niente e poco di tutto,Donna d'altri tempi (alla mamma)
"T’at ci spuseda, te avù di fiul","Ti sei sposata, hai avuto figli",Donna d'altri tempi (alla mamma)
L’andeva acsè l’era chi temp,"Andava così, erano quei tempi",Donna d'altri tempi (alla mamma)
"T ci guanteda nòna, t’é carsù i tu anvudin","Sei diventata nonna, hai cresciuto i tuoi nipotini",Donna d'altri tempi (alla mamma)
al pió dal vólti t’an gn’infruntiva,il più delle volte non ci azzeccavi,Donna d'altri tempi (alla mamma)
adës che la candela la s morta,adesso che la candela si spegne,Donna d'altri tempi (alla mamma)
t’an vu staché la spena,non vuoi staccare la spina,Donna d'altri tempi (alla mamma)
e incora patimint!,e ancora patimenti!,Donna d'altri tempi (alla mamma)
Ogni de’ ch’pas,Ogni giorno che passa,La mano armata
u i n’è sèmpar ona dal nòvi:,ce n’è sempre una nuova:,La mano armata
"A t’voi bene, t’ci la mi vóita,","Ti voglio bene, sei la mia vita,",La mano armata
t’è da stê’ sèmpar cun me.,devi stare sempre con me.,La mano armata
Cma farebia senza te?,Come farei senza di te?,La mano armata
Cma faresat senza me?,come faresti senza di me?,La mano armata
l’è un’êrma ad morta.,è un’arma di morte.,La mano armata
int una poza ad sângv.,in una pozza di sangue.,La mano armata
"E pu basta, a m so stóff,","E poi basta, mi sono stufato,",Basta!
"l’è tótt i dè cumpàgn, u n s nu n po’ piò.","è tutti i giorni uguale, non se ne può più.",Basta!
A m ví fè crèss i bafi!,Mi voglio far crescere i baffi!,Basta!
"t vu ch’a n’e’ vègga che e’ mi Driano u s’ asarméa mi Panartéun? ch’ l’è Ferruccio spudéd, zò, ch’ l’è e’ su fiol?","vuoi che non veda che il mio Adriano somiglia ai Panartéun? che è Ferruccio sputato, dai, che è suo figlio?",Suo padre
e alòura cs’òi da fè?,e allora cosa devo fare?,Suo padre
"e la nòta la n dorma,","e la notte non dorme,",Suo padre
"e’ dè u i vén i caldéun, la s zcórda al ròbi,","il giorno le vengono le caldane, si dimentica le cose,",Suo padre
"la pienz par gnént, cs’èll, a la ciap pr’e’ còl,","piange per niente, cosa faccio, la prendo per il collo,",Suo padre
"a rógg, a i déggh ch’ la è steda una putæna?","urlo, le dico che è stata una puttana?",Suo padre
e mè? cs’èll ch’a so stè?,e io? cosa sono stato?,Suo padre
E dopo a i e’ déggh enca ma Driano?,E dopo lo dico anche ad Adriano?,Suo padre
"e cumè ch’a i déggh? che l’è e’ mi fiól, parò mè a n so e’ su bà?","e come gli dico? che è mio figlio, però io non sono suo padre?",Suo padre
mo léu csa i éintral?,ma lui cosa c’entra?,Suo padre
"ch’u m vó un béin che mai,","che mi vuole un bene,",Suo padre
"u s cunféida, u m dí tótt,","si confida, mi dice tutto,",Suo padre
"pu l’è ligar, l’à vòia ‘d lavuræ,","poi è allegro, ha voglia di lavorare,",Suo padre
"l’è piò ligar ch’ né mè, e mènch zucòun, mènch parmalòus,","è più allegro di me, e meno testone, meno permaloso,",Suo padre
"l’è par quèll che i su améigh i i vó béin tótt, e ènca se lavòur,","è per questo che i suoi amici gli vogliono tutti bene, e anche sul lavoro,",Suo padre
"parò mégga indurmént, al röbi u li capéss, e’ fa di zchèurs ch’a n’i faz gnenca mè ch’a so e’ su bà.","però mica addormentato, le cose le capisce, fa dei discorsi che non li faccio nemmeno io che sono suo padre.",Suo padre
"Mètt ch’e’ vénga la féin de mond, admen, pasdmèn, e a murémm tótt,","Metti che venga la fine del mondo, domani, dopodomani, e moriamo tutti,",Metti
"e’ vén un schéur,","viene un buio,",Metti
da par léu?,da solo?,Metti
E do ch’ l’andrà?,e dove andrà?,Metti
"La tòurna d’ögni tânt, par la su mà,","Torna ogni tanto, per sua madre,",Bella
"la stan póch, du tri dè, la n scapa mai,","sta poco, due tre giorni, non esce mai,",Bella
mè pu a so sèmpra fóra.,io poi sono sempre fuori.,Bella
"A la ò incòuntra par chès, tla farmacéa,","L’ho incontrata per caso, in farmacia,",Bella
"«Mo da quand’èll ch’a n s’avdémm?»,","«Ma quant’è che non ci vediamo?»,",Bella
"la m’è pèrsa piò znìna,","mi è sembrata più piccola,",Bella
E li gnént. Sa chi ócc véird e e’ maiòun zal.,E lei niente. Con quegli occhi verdi e il maglione giallo.,Bella
"U i era ènca andè dri Lele Guarnieri,","Le aveva fatto la corte anche Lele Guarnieri,",Bella
"Dop a la ò cumpagnèda fina chèsa,","Dopo l’ho accompagnata fino a casa,",Bella
"la à avért, ò détt: «Cs’èll ch’avrébb paghè ‘lòura par no purtè i ucèl!»,","ha aperto, ho detto: «Cosa avrei pagato allora per non portare gli occhiali!»,",Bella
"la à ridéu: «A s’avdémm fr’agli èlt vint’an»,","ha riso: «Ci vediamo fra altri vent’anni»,",Bella
"pu da e’ purtòun custèd, préima da céud, la m’à guèrs: «Ta m piasévi»,","poi dal portone accostato, prima di chiudere, m’ha guardato: «Mi piacevi»,",Bella
"E par la stræda u s’è nuvlé, a San Bèrtal!","E per la strada s’è annuvolato, a San Bartolo",Bagnato
"L’à tach a pióv, pedêla po’,","Ha cominciato a piovere, pedala pure,",Bagnato
"i calzéun, ch’a n gn’éva péns, sl’untómm, ma la cadéina, a m sera sasiné,","i calzoni, che non ci avevo pensato, con l’unto, alla catena, mi ero rovinato,",Bagnato
mo butèi un pó ‘d brèssa d’ögni tênt!,ma buttateci un po’ di ghiaia ogni tanto!,Bagnato
"Amo i brótt, ènca mè a séra póch bèl,","E be’, sai, i brutti, anch’io ero poco bello,",Brutto
"però pu si an, ch’l’avrébb da ès pézz, invici, l’arvén, dabón,","però poi con gli anni, che dovrebbe essere peggio, invece, cambi in meglio, davvero,",Brutto
mè a m so énca inamurè.,io mi sono anche innamorato.,Brutto
"La taiéva dal rósi,","Tagliava delle rose,",Rose
"mè a paséva d’alè,","io passavo di lì,",Rose
